Period,3 Month T-Bill Rate,Exchange Rate,CCPI SL,US Inflation PI $,US 3 Month T-Bill Rate,Gross Domestic Product,BOP A/C Balance,Unemployment Rate,Gross Reserves,M2b,Stock Market Index (ASPI),Imports,Exports
Aug-19,7.63,177.97,343.44,258.03,1.95,3750622.68,-0.023075561,5.16,38.69378858,197.22,5899.26,280055.43,183755.47
Sep-19,7.62,180.78,346.19,258.24,1.89,3828878.79,-0.047213607,5.1,36.04915654,194.4,5805.05,309222.76,172415.15
Oct-19,7.5,181.45,346.88,258.83,1.65,3840399.14,-0.050384988,4.84,35.23669984,194.16,5839.93,329465.35,177328.6
Nov-19,7.47,180.37,347.92,258.69,1.54,3823335.33,-0.037995292,4.55,35.61118873,195.45,6058.31,314045.7,176546.44
Dec-19,7.51,181.25,349.66,258.45,1.54,3836326.68,-0.018898694,4.5,36.10781166,198.73,6107.41,323391.41,181243.57
Jan-20,7.51,181.4,355.61,259.46,1.52,3908458.98,-0.002121708,4.83,35.97247247,197.11,5972.12,314794.66,182289.82
Feb-20,7.42,181.56,355.61,260.17,1.52,3950603.82,0.006971571,5.33,35.74757515,197.26,5829.63,283659.89,179477.92
Mar-20,7,185.06,352.41,259.6,0.29,3844079.3,0.00481407,5.7,36.26793753,210.67,5154.78,223002.4,121437.61
Apr-20,6.75,193.09,352.76,257.86,0.14,3528043.29,-0.011818593,5.73,38.19155656,234.1,4888.18,216759.02,54510.01
May-20,6.69,187.87,354.17,257.87,0.13,3173013.02,-0.037363545,5.55,40.65072895,261.36,4621.58,186704.57,110218.03
Jun-20,5.5,185.95,357,259.28,0.16,3007345.49,-0.055650098,5.4,41.39531317,278.14,4964.77,196265.94,166268.5
Jul-20,4.59,185.85,357.36,260.59,0.13,3191140.66,-0.049081671,5.44,38.51506882,266.59,5043.79,240431.4,201649.75
Aug-20,4.56,184.89,357.36,261.41,0.1,3611470.14,-0.029846482,5.62,34.09315672,240.68,5271.26,238344.45,175136.75
Sep-20,4.51,185.03,359.86,261.78,0.11,4087148.49,-0.013581478,5.8,30.17949774,217.03,5626.44,282152.11,185039.52
Oct-20,4.57,184.44,360.22,261.89,0.1,4436990.25,-0.007763594,5.87,27.4446961,203.23,5771.53,251348.37,157560.76
Nov-20,4.64,184.79,361.66,261.73,0.09,4479809.96,-0.017693395,5.71,26.02733891,203.93,6059.74,255691.53,144810.37
Dec-20,4.67,187.18,364.2,261.97,0.09,4034422.17,-0.055675543,5.2,26.2800885,233.14,6574.91,285761.16,180528.04
